"Nazwa firmy","Kod","Koordynaty","Ulica","ZIP","Miejscowosc","Kierunek","Tagi","Strona","Email","Telefon","Platne","Logo","Facebook","LinkedIn"
"Apicd s.c. Autorska pracownia informatyki. Produkcja i sprzedaż oprogramowania komputerowego","Polska","51.208318,16.181280","Gwiezdna 8","59-220","Legnica","Informatyka","Programowanie, Delphi, ANSI SQL","http://apicd.pl/",,"768 546 775 ","Nie",,,
"Angra-Kseromatic Sp. z o.o.","Polska","51.203667,16.189000","Jana Heweliusza 7M","59-220","Legnica","Informatyka","IT","https://kseromatic.com.pl/","info@kseromatic.com.pl","76 854 05 05","Nie",,,
"Wojewódzki Szpital Specjalistyczny w Legnicy","Polska","51.208088,16.216410","Iwaszkiewicza 5","59-220","Legnica","Informatyka","IT","https://szpital.legnica.pl/","sekretariat@szpital.legnica.pl","76 72 11 300","Nie",,,
"Studio Reklamy i Druku FTPrint Tomasz Flak","Polska","51.213166,16.162990","Głogowska 2","59-220","Legnica","Informatyka","Grafika","https://ftprint.pl/","kontakt@ftprint.pl","76 300 00 84","Nie",,,
"Haerter Technika Wytłaczania Sp. z o.o. Sp. k.","Polska","51.163302,16.183180","Jaworzyńska 291C","59-220","Legnica","Informatyka","IT","https://haerter.com/pl/strona-glowna/","praca@haerter.com","49 7232 / 3046-0","Nie",,,
"Agencja Reklamowa PROXART Spółka Cywilna Paweł Wychryst Krystian Marut","Polska","51.192128,16.131620","Czesława Miłosza 26","59-220","Legnica","Informatyka","Grafika, Web","https://www.proxart.pl/","biuro@proxart.pl","76 723 723 8","Nie",,,
"Legnickie Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.","Polska","51.183865,16.159450","Nowodworska 60","59-220","Legnica","Informatyka","IT","http://www.lpgk.nazwa.pl/","biuro@lpgk.pl","76 / 856 63 50-52","Nie",,,
"Globnet Sp. z o.o. - pozycjonowanie, reklama w Google, strony internetowe","Polska","51.189601,16.178410","Pułkownika Karola Myrka 6","59-220","Legnica","Informatyka","Web","https://www.szczyt.pl/","biuro@szczyt.pl","(76) 724 33 00","Nie",,,
"Przedsiębiorstwo Usług Informatycznych BAJT","Polska","51.201264,16.210290","Pomorska 56","59-220","Legnica","Informatyka","IT, Serwis","https://bajt.lca.pl/","biuro@bajt.lca.pl","76 8664 911","Nie",,,
"Wojewódzkie Przedsiębiorstwo Energetyki Cieplnej w Legnicy S.A.","Polska","51.228133,16.164620","Poznańska 48","59-220","Legnica","Informatyka","IT","https://wpec.legnica.pl/","sekretariat@wpec.legnica.pl","(76) 85 68 300","Nie",,,
"SANHA Polska Sp. z o.o. ","Polska","51.228888,16.170250","Poznańska 49","59-220","Legnica","Informatyka","IT","https://www.sanha.com/pl","techniczne@sanha.com","76 857 2000","Nie",,,
"Kasa Rolniczego Ubezpieczenia Społecznego","Polska","51.204677,16.165290","Władysława Reymonta 4","59-220","Legnica","Informatyka","IT","https://www.krus.gov.pl/krus/struktura/oript/oript-tabela-z-danymi/pt-w-legnicy/","legnica@krus.gov.pl","(76) 856 53 17","Nie",,,
"Legnicka TV DAMI","Polska","51.205778,16.160530","Wjazdowa 5","59-220","Legnica","Informatyka","IT","https://tulegnica.pl/","redakcja@tulegnica.pl","783 102 053","Nie",,,
"Partner Serwis Sp. z o.o.","Polska","51.188545,16.122550","Złotoryjska 180","59-220","Legnica","Informatyka","IT","http://www.grupapartner.pl/",,"76 819 90 60","Nie",,,
"Agencja Reklamowo Wydawnicza Arte & Andre","Polska","51.200813,16.158410","Macieja Rataja 7","59-200","Legnica","Informatyka","IT","http://www.arte-andre.pl/","arte@poczta.fm","76 862 31 74","Nie",,,
"ALEX sp z o.o.","Polska","51.941665,15.492090","Wiejska 3","65-609","Zielona Góra","Informatyka","IT","https://autogas-alex.com/","zielonagora@autogas-alex.com","68 453 19 33","Nie",,,
"Agromet ZEHS Lubań S.A.","Polska","51.120960,15.277670","Esperantystów 2","59-800","Lubań","Informatyka","IT","http://www.zehs.com.pl/index.php/pl/kontakt-z-nami.html","agromet@zehs.com.pl","75 722 20 81","Nie",,,
"Regionalne Centrum Zdrowia Sp. Z O.O. (Szpital)","Polska","51.400911,16.197700","Generała Józefa Bema 5","59-300","Lubin","Informatyka","IT","https://www.emc-sa.pl/","sekretariat-rczlubin@emc-sa.pl","76 840 15 00","Nie",,,
"System-3 Sp. z o.o.","Polska","51.403470,16.207710","Armii Krajowej 35/2","59-300","Lubin","Informatyka","IT, Bezpieczeństwo","https://system-3.com.pl/kontakt/","biuro@system-3.com.pl","76 742 66 30","Nie",,,
"Pol-Miedź Trans Sp. z o.o.","Polska","51.436886,16.153200","Marii Skłodowskiej - Curie 190","59-300","Lubin","Informatyka","IT","http://www.pmtrans.pl/","sekretariat@pmtrans.pl","76 847 18 00","Nie",,,
"KGHM Polska Miedź S.A. Oddział. Centralny ośrodek przetwarzania informacji","Polska","51.408740,16.196270","Marii Skłodowskiej - Curie 48","59-300","Lubin","Informatyka","IT","https://kghm.com/pl/",,"76 74 75 924","Nie",,,
"Miedziowe Centrum Zdrowia S.A. w Lubinie","Polska","51.409514,16.194040","Marii Skłodowskiej - Curie 66","59-300","Lubin","Informatyka","IT","https://www.mcz.pl/","mcz@mcz.pl","76 84 60 110","Nie",,,
"PeBeKa S.A. Przedsiębiorstwo Budowy Kopalń","Polska","51.410632,16.192780","Marii Skłodowskiej - Curie 76","59-300","Lubin","Informatyka","IT","http://pebeka.com.pl/","pebeka@pebeka.com.pl","76 840 54 03","Nie",,,
"Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o. w Lubinie","Polska","51.395907,16.211960","Rzeźnicza 1","59-300","Lubin","Informatyka","IT","https://www.mpwik.lubin.pl/","mpwik@mpwik.lubin.pl ","76 746 80 01","Nie",,,
"Telewizja Lubin TVL Sp. z o.o.","Polska","51.398196,16.204060","Tysiąclecia 2","59-300","Lubin","Informatyka","IT","https://www.lubin.pl/kontakt-8/","redakcja.lubin@tvl.pl","76 844 13 93","Nie",,,
"Termal S.A. Miejskie Przedsiębiorstwo Energetyki Cieplnej","Polska","51.398339,16.204020","Tysiąclecia 3","59-300","Lubin","Informatyka","IT","https://termal.pl/","termal@termal.pl","(076) 7498-293","Nie",,,
"Sanden Manufacturing Poland Sp. z o.o.","Polska","51.488863,16.039200","Fabryczna 11","59-100","Polkowice","Informatyka","IT","https://www.sandensmp.pl/",,"(76) 72 49 114","Nie",,,
"MERCUS Logistyka sp. z o.o. ","Polska","51.480644,16.064320","Kopalniana 11","59-101","Polkowice","Informatyka","IT","https://www.mercus.com.pl/","mercus@mercus.com.pl","76 724 81 13","Nie",,,
"SITECH Sp. z o.o.","Polska","51.493522,16.045630","Strefowa 2","59-101","Polkowice","Informatyka","IT","https://www.sitech.com.pl/","info@pl.sitech-automotive.com","76 726 70 00","Nie",,,
"CCC Factory Sp. z o.o.","Polska","51.494255,16.051220","Strefowa 9","59-100","Polkowice","Informatyka","IT","http://www.ccc.eu","sekretariat@cccfactory.pl","76 843 31 00","Nie",,,
"Hemiz-Bis Sp. z o.o.","Polska","51.282335,16.360940","Sienkiewicza 27","59-230","Prochowice","Informatyka","IT",,"pkoczyszczalnia@wp.pl","76 858 48 99","Nie",,,
"Vivena-Natura Sp. z o.o.","Polska","51.266009,16.382390","Wrocławska 68","59-230","Prochowice","Informatyka","IT","https://vivena.pl/","biuro@vivena.pl","601 094 836","Nie",,,
"FINGO Sp. z o.o.","Polska","51.091071,17.015310","Plac Powstańców Śląskich 7","53-329","Wrocław","Informatyka","Web, Java, PHP, .NET, Docker","https://www.fingo.pl/","biuro@fingo.pl","71 332 99 60","Nie",,,
"Tmsolution Sp z o.o.","Polska","51.109574,17.036790","Wita Stwosza 16","11-400","Wrocław","Informatyka","Reklama","https://tmsolution.pl/","biuro@tmsolution.pl","71 60 60 920","Nie",,,
"AUCH Studio","Polska","51.125582,16.969830","Bulwar Ikara 28","54-129","Wrocław","Informatyka","Reklama","https://auchstudio.pl/",,"717 845 011","Nie",,,
"InsERT S.A.","Polska","51.125255,16.912720","Jerzmanowska 2","54-519","Wrocław","Informatyka","Programowanie, C++, .NET","https://www.insert.com.pl/index.html",,"71 787 61 00","Nie",,,
"ADVATECH Sp. z o.o.","Polska","51.106054,16.971170","Wrocławski Park Technologiczny-Budynek Alfa, Klecińska 123","54-413","Wrocław","Informatyka","IT","https://www.advatech.pl/","info@advatech.pl","71 772 66 00","Nie",,,
"Etteplan Poland Sp. z o.o.","Polska","51.116657,16.996810","Legnicka 48g","54-202","Wrocław","Informatyka","IT","https://www.etteplan.com/pl/kontakt","maciej.sibinski@etteplan.com","668 181 511","Nie",,,
"ITMdevlabs sp z o.o","Polska","51.201574,16.154070","Macieja Rataja 21","59-220","Legnica","Informatyka","IT","https://itmdevlabs.com/","office@itmdevlabs.com","71 718 37 10","Nie",,,
"ITMation S.A.","Polska","51.070151,17.013740","Okrężna 10","53-008","Wrocław","Informatyka","Web, Hosting","https://itmation.pl/","biuro@itmation.pl","71 718 37 10","Nie",,,
"Better Software Group S.A.","Polska","51.100089,17.031190","Komandorska 12","50-022","Wrocław","Informatyka","Programowanie, Grafika","https://www.bsgroup.eu/",,,"Nie",,,
"YUMA Przedsiębiorstwo Informatyczne Sp. z o.o.","Polska","51.063763,16.981610","Wałbrzyska 12","52-314","Wrocław","Informatyka","IT, Serwis, Programowanie","http://www.yuma.pl/","kontakt@yuma.pl","71 78 44 100","Nie",,,
"Adeo Screen sp. z o.o.","Polska","51.108364,15.921550","Bolesława Krzywoustego 31","59-500","Złotoryja","Informatyka","IT","http://www.adeoscreen.com/","info@adeoscreen.pl","76 850 53 01","Nie",,,
"Vitbis Sp. z o.o. Zakład produkcji szklanych ozdób choinkowych","Polska","51.132231,15.935070","Legnicka 31","59-500","Złotoryja","Informatyka","IT","https://vitbis.com/","vitbis@vitbis.com","76 8783 110","Nie",,,
"PGP Bazalt - Kopalnia Wilków","Polska","51.072715,15.924580","Wilków 100","59-500","Złotoryja","Informatyka","IT","https://www.bazalt.pl/","sekretariat@bazalt.pl","(76) 87 83 872","Nie",,,
"Zakład Elektronicznej Techniki Obliczeniowej","Polska","51.614132,15.320570","Rynek 13","68-100","Żagań","Informatyka","IT","http://www.zeto-zagan.pl/","biuro@zeto-zagan.pl","68 30 700 30","Nie",,,
"SWISS KRONO Sp. z o.o.","Polska","51.632245,15.098920","Serbska 56","68-200","Żary","Informatyka","IT","https://www.swisskrono.pl/","sekr@swisskrono.pl","68 36 31 100","Nie",,,
"Urząd Miasta w Bolesławcu","Polska","51.263070,15.564630","Rynek 41","59-700","Bolesławiec","Informatyka","IT","https://www.bolesławiec.pl","umboleslawiec@um.boleslawiec.pl","(75) 64-56-400","Nie",,,
"Urząd Miasta w Chojnowie","Polska","51.270579,15.930470","Plac Zamkowy 1","59-225","Chojnów","Informatyka","IT","https://um.chojnow.eu/","um.sekretariat@chojnow.eu","76 81 88 285","Nie",,,
"Urząd Miasta w Środzie Śląskiej","Polska","51.163645,16.595590","Plac Wolności 5","55-300","Środa Śląska","Informatyka","IT","https://srodaslaska.pl/","um@srodaslaska.pl","71 317 30 52","Nie",,,
"Starostwo Powiatowe w Bolesławcu","Polska","51.264384,15.563480","Armii Krajowej 12","59-700","Bolesławiec","Informatyka","IT","www.powiatboleslawiecki.pl","biuro@powiatboleslawiecki.pl","75 732 32 58","Nie",,,
"Starostwo Powiatowe w Legnicy","Polska","51.205197,16.160490","Plac Słowiański 1","59-220","Legnica","Informatyka","IT","https://powiat-legnicki.eu","starostwo@powiat-legnicki.eu","76-72-43-400","Nie",,,
"Starostwo Powiatowe w Lubinie","Polska","51.400191,16.210420","Jana Kilińskiego 12B","59-339","Legnica","Informatyka","IT","http://powiat-lubin.pl","starostwo@powiat-lubin.pl","76 746 71 00","Nie",,,
"Urząd Skarbowy w Legnicy","Polska","51.208851,16.170990","Wrocławska 37","59-220","Legnica","Informatyka","IT","https://www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-legnicy","us.legnica@mf.gov.pl","76 8511500","Nie",,,
"Urząd Skarbowy w Lubinie","Polska","51.412141,16.191710","Marii Skłodowskiej - Curie 94","59-300","Lubin","Informatyka","IT","https://www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lubinie","us.lubin@mf.gov.pl","76 746 11 00","Nie",,,
"Urząd Skarbowy w Złotoryi","Polska","51.123902,15.915870","Rynek 42","59-500","Złotoryja","Informatyka","IT","https://www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zlotoryi","us.zlotoryja@mf.gov.pl","76 87 83 509","Nie",,,
"Urząd Skarbowy w Wołowie","Polska","51.325584,16.628740","Tadeusza Kościuszki 17","56-100","Wołów","Informatyka","IT","https://www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-wolowie","us.wolow@mf.gov.pl","(71) 389-24-40","Nie",,,
"Urząd Skarbowy w Jaworze","Polska","51.058852,16.185220","Jurija Gagarina 5","59-400","Jawor","Informatyka","IT","https://www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jaworze","us.jawor@mf.gov.pl","76 871-72-00","Nie",,,
"Urząd Skarbowy w Rawiczu","Polska","51.611244,16.862070","Stanisława Staszica 4","63-900","Rawicz","Informatyka","IT","https://www.wielkopolskie.kas.gov.pl/urzad-skarbowy-w-rawiczu","us.rawicz@mf.gov.pl","65 546 61 91","Nie",,,
"Urząd Skarbowy w Środzie Śląskiej","Polska","51.161719,16.603960","Oławska 5A","55-300","Środa Śląska","Informatyka","IT","https://www.dolnoslaskie.kas.gov.pl/web/bip-0201/urzad-skarbowy-w-srodzie-slaskiej","us.sroda_slaska@mf.gov.pl","71 757 25 41","Nie",,,
"Urząd Gminy w Polkowicach","Polska","51.503156,16.068110","Rynek 1","59-100","Polkowice","Informatyka","IT","https://polkowice.eu","kancelaria@gmina.polkowice.pl","76 847 41 07","Nie",,,
"Urząd Gminy w Chojnowie","Polska","51.278507,15.937530","Fabryczna 1","59-224","Chojnów","Informatyka","IT","www.gmina-chojnow.pl","urzad@gmina-chojnow.pl","76 81-88-502","Nie",,,
"Urząd Gminy w Udaninie","Polska","51.036507,16.452040","Udanin 26","55-340","Udanin","Informatyka","IT","http://www.udanin.pl/asp/pl_start.asp?typ=13&menu=2&strona=1&schemat=","ug@udanin.pl ","76 7442 870","Nie",,,
"Urząd Gminy w Kunicach","Polska","51.224463,16.247420","Gwarna 1","59-216","Kunice","Informatyka","IT","http://www.kunice.pl","kunice@kunice.pl","(+76) 857-50-13","Nie",,,
"Urząd Gminy w Warcie Bolesławieckiej","Polska","51.233534,15.667180","Warta Bolesławiecka 40C","59-720","Warta Bolesławiecka","Informatyka","IT","https://www.wartaboleslawiecka.pl/#1","urzad@wartabol.pl","75 738 95 92","Nie",,,
"Powiatowy Urząd Pracy we Wrocławiu","Polska","51.093967,17.035560","Gliniana 20","50-525","Wrocław","Informatyka","IT","https://wroclaw.praca.gov.pl","wrwr@pup-wroclaw.pl","71 7701 876","Nie",,,
"Powiatowy Urząd Pracy w Legnicy","Polska","51.203146,16.154820","Generała Władysława Andersa 2","59-220","Legnica","Informatyka","IT","https://legnica.praca.gov.pl","puplegnica@puplegnica.pl","76 722 52 10","Nie",,,
"Powiatowy Urzad Pracy w Lubinie","Polska","51.400191,16.210420","Jana Kilińskiego 12B","59-339","Lubin","Informatyka","IT","https://lubin.praca.gov.pl","wrln@praca.gov.pl,","767 461 401","Nie",,,
"Komenda Miejska Policji we Wrocławiu","Polska","51.141570,17.070860","Komenda Miejska Policji, Sołtysowicka 21","51-168","Wrocław","Informatyka","IT","http://www.wroclaw.policja.gov.pl","naczelnik.doboru-szkolenia@wr.policja.gov.pl","47 87 143 02","Nie",,,
"Komenda Miejska Policji w Legnicy","Polska","51.200396,16.144750","Adama Asnyka 3","59-220","Legnica","Informatyka","IT","http://www.legnica.policja.gov.pl","anna.bandyk@legnica.wr.policja.gov.pl","47 87 414 60","Nie",,,
"Komenda Miejska Policji w Lubinie","Polska","51.397228,16.199830","Romualda Traugutta 3","59-300","Lubin","Informatyka","IT","http://bip.lubin.policja.gov.pl","dyzurny@lubin.wr.policja.gov.pl","47 87 432 00","Nie",,,
"Komenda Miejska Straży Pożarnej we Wrocławiu","Polska","51.124173,17.037980","Kręta 28","50-233","Wrocław","Informatyka","IT","http://kmpsp.wroclaw.pl/kontakt/","wroclaw@kmpsp.wroclaw.pl","71 320 70 04","Nie",,,
"Komenda Miejska Straży Pożarnej w Legnicy","Polska","51.206776,16.163560","Witelona 2","59-220","Legnica","Informatyka","IT","https://www.gov.pl/web/kmpsp-legnica","sekretariat@strazlegnica.pl","76 752 21 12","Nie",,,
"Urząd Celny w Wałbrzychu","Polska","50.815977,16.288240","Ogrodowa 15","58-306","Wałbrzych","Informatyka","IT","https://www.dolnoslaskie.kas.gov.pl/pl/urzad-skarbowy-w-walbrzychu","uc.walbrzych@wro.mofnet.gov.pl","74 648-84-44","Nie",,,
"Urząd Celny w Jeleniej Górze","Polska","50.915268,15.766520","Thebesiusa 1","58-506","Jelenia Góra","Informatyka","IT","https://www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jeleniej-gorze","us.jelenia_gora@mf.gov.pl","(0-75) 64 73 500","Nie",,,
"Dolnośląski Oddział Wojewódzki NFZ we Wrocławiu","Polska","51.094026,17.036390","Joannitów 6","50-525","Wrocław","Informatyka","IT","https://www.nfz-wroclaw.pl","praktykistudenckie@nfz-wroclaw.pl","71 79 79m 261","Nie",,,
"Wojewódzki Inspektorat Ochrony Środowiska we Wrocławiu","Polska","51.155372,17.022960","Paprotna 14","51-117","Wrocław","Informatyka","IT","https://www.wroclaw.pios.gov.pl","wios@wroclaw.pios.gov.pl","71 327 30 00","Nie",,,
"Zakład Ubezpieczeń Społecznych w Legnicy","Polska","51.196479,16.151460","Władysława Grabskiego 26","59-220","Legnica","Informatyka","IT","https://www.zus.pl/o-zus/kontakt/oddzialy-inspektoraty-biura-terenowe/-/details/359","praktyki.centralazus@zus.pl","(22) 560 16 00","Nie",,,
"Zakład Ubezpieczeń Społecznych we Wrocławiu","Polska","51.092175,17.014060","Bernarda Pretficza 11","53-407","Wrocław","Informatyka","IT","https://www.zus.pl/o-zus/kontakt/oddzialy-inspektoraty-biura-terenowe/-/details/360","praktyki.centralazus@zus.pl","(22) 560 16 00","Nie",,,
